ticker,start_date,end_date
LTM,2012-12-01,2015-07-01
LW,2017-01-01,2019-10-01
LXK,2013-12-01,2017-01-01
LYV,2015-06-01,2020-11-01
LZ,2012-12-01,2013-12-01
M,2022-01-01,
MAA,2015-06-01,2017-01-01
MAC,2012-12-01,2013-09-01
MAC,2020-11-01,2023-07-01
MAN,2012-12-01,2025-11-01
MANH,2015-07-01,
MANT,2012-12-01,2015-06-01
MASI,2012-12-01,2015-06-01
MASI,2017-04-01,2026-07-01
MAT,2019-10-01,
MATW,2012-12-01,2015-06-01
MATX,2013-12-01,2015-06-01
MBFI,2016-09-01,2019-10-01
MCRS,2012-12-01,2015-06-01
MCY,2012-12-01,2022-10-01
MD,2012-12-01,2021-01-01
MDC,2012-12-01,2017-01-01
MDP,2013-12-01,2021-01-01
MDR,2018-08-01,2019-11-01
MDRX,2012-12-01,2021-01-01
MDSO,2017-07-01,2020-11-01
MDU,2012-12-01,2024-11-01
MEDP,2021-03-01,
MENT,2012-12-01,2017-05-01
MHK,2012-12-01,2015-06-01
MIDD,2021-01-01,
MIK,2017-05-01,2019-11-01
MIME,2021-09-01,2022-06-01
MKSI,2018-01-01,
MKTX,2017-01-01,2019-10-01
MLHR,2012-12-01,2021-12-01
MLI,2024-12-01,
MLKN,2021-12-01,2022-11-01
MLM,2012-12-01,2015-06-01
MMS,2015-06-01,
MNK,2013-12-01,2015-06-01
MNK,2017-09-01,2019-11-01
MODG,2022-10-01,2024-01-01
MOG.A,2026-04-01,
MOH,2017-01-01,2022-04-01
MOH,2026-08-01,
MORN,2023-11-01,
MP,2022-08-01,2024-10-01
MP,2025-11-01,
MPW,2017-01-01,2024-04-01
MPWR,2017-01-01,2021-04-01
MRCY,2019-11-01,2020-11-01
MRCY,2021-03-01,2023-09-01
MRX,2012-12-01,2013-12-01
MSA,2012-12-01,
MSCC,2016-04-01,2018-08-01
MSCI,2012-12-01,2018-05-01
MSM,2012-12-01,
MTD,2012-12-01,2017-01-01
MTDR,2017-07-01,2021-01-01
MTDR,2022-05-01,
MTG,2021-03-01,
MTN,2023-11-01,
MTSI,2022-09-01,
MTX,2012-12-01,2022-10-01
MTZ,2019-01-01,
MUR,2017-09-01,
MUSA,2013-12-01,
MWW,2013-12-01,2015-06-01
MZTI,2025-09-01,
NAL,2012-12-01,2013-09-01
NARI,2022-06-01,2024-04-01
NATI,2012-12-01,2023-11-01
NAVI,2018-08-01,2023-07-01
NBIX,2021-05-01,
NBR,2015-06-01,2019-10-01
NCI,2012-12-01,2013-09-01
NCR,2012-12-01,2023-11-01
NDSN,2012-12-01,2022-03-01
NE,2017-01-01,2017-06-01
NEOG,2021-03-01,2025-04-01
NEU,2012-12-01,
NFG,2012-12-01,
NGVT,2019-10-01,2023-07-01
NHP,2012-12-01,2013-12-01
NJR,2017-01-01,
NKTR,2019-11-01,2020-11-01
NKTR,2021-01-01,2022-01-01
NLY,2022-10-01,
NNN,2013-12-01,
NOV,2021-10-01,
NOVT,2022-08-01,
NSA,2021-06-01,2026-08-01
NSP,2019-10-01,2026-02-01
